CSV-Export;Version: 1.01;Separator: Semicolon

;SENS0500;SENS0500;SENS0500;SENS0500;SENS0500;SENS0500;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50
;2237;2237;2237;2237;2237;2237;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311
TimeStamp;ExlSolIrr;IntSolIrr;OpTm;TmpAmb C;TmpMdul C;WindVel m/s;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac
hh:mm;W/m^2;W/m^2;h;?C;?C;m/s;kWh;Hz;;h;h;mA;mA;;W;kOhm;;;V;V;V;Ohm;kWh;Hz;;h;h;mA;mA;;W;kOhm;;;V;V;V;Ohm;kWh;Hz;;h;h;mA;mA;;W;kOhm;;;V;V;V;Ohm
00:00;0;1;30173,782;-273,17;21,593;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15;0;1;30174,031;-273,17;21,423;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30;0;1;30174,284;-273,17;21,347;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45;0;1;30174,532;-273,17;21,094;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00;0;1;30174,779;-273,17;21,012;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:15;0;1,022;30175,032;-273,17;20,937;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:30;0;1,356;30175,28;-273,17;20,308;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:45;0;1,022;30175,528;-273,17;20,166;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:00;0;1;30175,782;-273,17;20,293;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:15;0;0,911;30176,03;-273,17;20,177;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:30;0;1;30176,279;-273,17;19,759;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:45;0;1,043;30176,532;-273,17;19,773;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:00;0;1,178;30176,779;-273,17;19,903;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:15;0;1,289;30177,027;-273,17;19,721;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30;0;1,109;30177,281;-273,17;19,789;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45;0;1,044;30177,528;-273,17;19,77;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00;0;1,022;30177,781;-273,17;19,432;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15;0;1,089;30178,028;-273,17;19,23;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30;0;1,044;30178,277;-273,17;19,294;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45;0;1,065;30178,53;-273,17;19,071;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00;0;1,244;30178,777;-273,17;18,421;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15;0;1,511;30179,026;-273,17;18,048;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30;0;1,435;30179,279;-273,17;17,973;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45;0;1,933;30179,526;-273,17;17,93;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:00;0;1,578;30179,774;-273,17;17,937;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
